rank,word,count,review_count,review_pct
398,adds,4,4,1.0
399,tacky,4,3,0.7
400,rather,4,4,1.0
401,deep,4,4,1.0
402,immediate,4,4,1.0
403,broken,4,3,0.7
404,silky,4,4,1.0
405,decided,4,4,1.0
406,rash,4,3,0.7
407,top,4,4,1.0
408,update,4,4,1.0
409,although,4,4,1.0
410,fake,4,2,0.5
411,able,4,4,1.0
412,broke,4,4,1.0
413,sold,4,4,1.0
414,lemony,4,4,1.0
415,bumps,4,3,0.7
416,believe,4,4,1.0
417,ones,4,4,1.0
418,soon,4,4,1.0
419,clear,4,4,1.0
420,damaged,4,3,0.7
421,gave,4,4,1.0
422,pour,4,4,1.0
423,looked,4,4,1.0
424,smelled,4,3,0.7
425,compared,4,4,1.0
426,stop,4,4,1.0
427,expiration,4,1,0.2
428,date,4,1,0.2
429,easy,4,4,1.0
430,absorbing,4,4,1.0
431,forward,4,4,1.0
432,adore,4,3,0.7
433,changer,4,4,1.0
434,research,4,4,1.0
435,generous,4,4,1.0
436,seen,4,4,1.0
437,residue,4,4,1.0
438,totally,4,4,1.0
439,drinks,4,4,1.0
440,continue,4,4,1.0
441,surprised,4,4,1.0
442,neck,4,4,1.0
443,gone,4,4,1.0
444,typically,4,4,1.0
445,double,4,4,1.0
446,fruit,4,4,1.0
447,actives,4,2,0.5
448,within,4,4,1.0
449,positive,4,4,1.0
450,absorb,4,4,1.0
451,life,4,4,1.0
452,fantastic,4,4,1.0
453,live,4,4,1.0
454,normal,4,4,1.0
455,slight,4,4,1.0
456,start,4,4,1.0
457,says,4,4,1.0
458,lasted,4,4,1.0
459,mocchi,4,4,1.0
460,die,4,3,0.7
461,diy,4,2,0.5
462,real,3,3,0.7
463,changes,3,3,0.7
464,burn,3,2,0.5
465,panthenol,3,3,0.7
466,name,3,3,0.7
467,ist,3,2,0.5
468,macht,3,3,0.7
469,barrera,3,2,0.5
470,hidrata,3,3,0.7
471,rostro,3,2,0.5
472,poros,3,2,0.5
473,antes,3,3,0.7
474,parece,3,2,0.5
475,scented,3,3,0.7
476,regular,3,3,0.7
477,despu,3,3,0.7
478,ligero,3,3,0.7
479,olor,3,3,0.7
480,someone,3,3,0.7
481,issues,3,3,0.7
482,stars,3,3,0.7
483,option,3,3,0.7
484,mentioned,3,3,0.7
485,fruity,3,3,0.7
486,tengo,3,2,0.5
487,fresca,3,3,0.7
488,drops,3,3,0.7
489,early,3,3,0.7
490,barely,3,3,0.7
491,shampoo,3,2,0.5
492,press,3,3,0.7
493,drying,3,3,0.7
494,cleanse,3,3,0.7
495,mild,3,3,0.7
496,geruch,3,1,0.2
497,heaven,3,2,0.5
498,problem,3,3,0.7
499,types,3,3,0.7
500,shocked,3,3,0.7
501,rough,3,3,0.7
502,small,3,3,0.7
503,received,3,3,0.7
504,checked,3,3,0.7
505,expires,3,2,0.5
506,follow,3,3,0.7
507,others,3,2,0.5
508,reading,3,3,0.7
509,worse,3,3,0.7
510,true,3,3,0.7
511,supposed,3,3,0.7
512,glycol,3,1,0.2
513,hate,3,3,0.7
514,gel,3,3,0.7
515,opinion,3,3,0.7
516,until,3,3,0.7
517,red,3,3,0.7
518,palm,3,3,0.7
519,overpowering,3,3,0.7
520,sensation,3,3,0.7
521,healed,3,3,0.7
522,became,3,3,0.7
523,expect,3,3,0.7
524,j'ai,3,1,0.2
525,heard,3,3,0.7
526,improvement,3,3,0.7
527,knew,3,3,0.7
528,hard,3,3,0.7
529,selling,3,3,0.7
530,changed,3,3,0.7
531,stick,3,3,0.7
532,irritating,3,3,0.7
533,waste,3,3,0.7
534,itch,3,1,0.2
535,anywhere,3,3,0.7
536,package,3,2,0.5
537,sealed,3,2,0.5
538,understand,3,3,0.7
539,opened,3,1,0.2
540,november,3,2,0.5
541,please,3,3,0.7
542,finding,3,3,0.7
543,peel,3,3,0.7
544,moisturiser,3,2,0.5
545,natural,3,3,0.7
546,comfortable,3,3,0.7
547,coming,3,3,0.7
548,essences,3,3,0.7
549,today,3,3,0.7
550,moment,3,3,0.7
551,support,3,3,0.7
552,penny,3,3,0.7
553,expensive,3,3,0.7
554,lock,3,3,0.7
555,consistent,3,3,0.7
556,tight,3,3,0.7
557,loving,3,3,0.7
558,fast,3,3,0.7
559,luxurious,3,3,0.7
560,healthier,3,3,0.7
561,you're,3,3,0.7
562,truly,3,3,0.7
563,several,3,3,0.7
564,noticeable,3,3,0.7
565,repurchasing,3,3,0.7
566,excited,3,3,0.7
567,addition,3,3,0.7
568,stripping,3,3,0.7
569,yourself,3,3,0.7
570,nico,3,3,0.7
571,beautifully,3,2,0.5
572,contains,3,3,0.7
573,consistently,3,3,0.7
574,glassy,3,3,0.7
575,dull,3,3,0.7
576,repurchased,3,3,0.7
577,facial,3,3,0.7
578,absolute,3,3,0.7
579,delivers,3,2,0.5
580,subtle,3,2,0.5
581,permanent,3,3,0.7
582,drier,3,3,0.7
583,aging,3,2,0.5
584,ran,3,3,0.7
585,sometimes,3,3,0.7
586,soo,3,2,0.5
587,washing,3,3,0.7
588,maybe,3,3,0.7
589,effects,3,3,0.7
590,level,3,3,0.7
591,suitable,3,2,0.5
592,improved,3,3,0.7
593,paired,3,3,0.7
594,mom,3,3,0.7
