user_id,nickname,total_reviews,REVIEWER_INFO,BRAND_NAME,goods_name,option,REVIEW_DATE,REVIEW_RATING,REVIEW_ADDITIONAL_INFO,review_likes,REVIEW_CONTENT,PRODUCT_NAME,has_price_info,토너여부,브랜드여부
0541f7aa32541ace1940793f741f2972,유우움_,1041,dry / winter_cool / soothing,독도토너,[2pack] 1025 독도 토너 리필 300ml,NONE,2025-03-11,5,,0,토너가 타사 제품에 비해 묽어서 참 좋은 것 같아요,라운드랩1025독도토너리필300ml,FALSE,Y,#N/A
0541f7aa32541ace1940793f741f2972,유우움_,1041,dry / winter_cool / soothing,독도토너,[2pack] 1025 독도 토너 리필 300ml,NONE,2025-03-11,5,,0,토너가 타사 제품에 비해 묽어서 하나씩 꼭 두고 써요,라운드랩1025독도토너리필300ml,FALSE,Y,#N/A
0541f7aa32541ace1940793f741f2972,유우움_,1041,"combination / spring_warm / acne,moisture_control,soothing",독도토너,1025 독도 토너 500ml + 독도 로션 200ml,none,2025-03-11,5,,0,독도 토너 사용중이었는데 로션도 같이 사봤는데 좋네요!,라운드랩1025독도토너500ml독도로션200ml,TRUE,Y,#N/A
b91e1a73fb76d1dea12491b8022d5c0e,김멘둥,,oily / spring_warm / moisture_control,독도토너,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),none,2025-03-11,5,,0,역시 맨닐 쓰던 거여서 재구매 했어요 넘좋템템뀨,라운드랩1025독도토너500ml,TRUE,Y,#N/A
72c9caf9599d1550e2a6402365de699b,Hseong,186,combination / spring_warm / soothing,독도토너,1025 독도 토너 200ml + 독도 로션 200ml,none,2025-03-12,5,,0,우선 저렴하게 잘 샀습니다. 토너 로션 세트 넘 좋아요~!,라운드랩1025독도토너200ml독도로션200ml,TRUE,Y,#N/A
c3edd546ba2dbae72c9fbe656a850cb3,잉ㅇㅇ영잉,61,"combination / summer_cool / acne,moisture_control,elasticity",독도토너,1025 독도 토너 500ml + 독도 로션 200ml,none,2025-03-12,5,,0,딱 필요한 구성으로 판매되고있길래 쿠폰먹여서 싸게 구매했더요,라운드랩1025독도토너500ml독도로션200ml,TRUE,Y,#N/A
0541f7aa32541ace1940793f741f2972,유우움_,1041,dry / winter_cool / soothing,독도토너,1025 독도 토너 500ml + 독도 로션 200ml,none,2025-03-12,5,,0,토너만 사용했는데 로션도 너무 좋네요. 정착해야겠어요,라운드랩1025독도토너500ml독도로션200ml,TRUE,Y,#N/A
2f396d7f58a2992f011e665d8d804637,아기곰둥,,"combination / fall_warm / soothing,acne,pores",독도토너,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),none,2025-03-13,5,,0,대용량 토너 올리브영보다 싸게산듯 독도토너는 첨써보는데 궁금함,라운드랩1025독도토너500ml,TRUE,Y,#N/A
65744fa3a4e9cc28b2b60f837fc5e829,아원플래티넘,,oily / summer_cool / soothing,독도토너,(사용안함) [파우치증정] 1025 독도 트래블 키트 4종 (토너+로션+선크림+클렌저),NONE,2025-03-13,5,,0,여행할 때 너무 유용하게 썼어요! 파우치도 예쁘고 잘 받았습니다~,라운드랩1025독도트래블키트4종,FALSE,Y,#N/A
65744fa3a4e9cc28b2b60f837fc5e829,아원플래티넘,,"oily / summer_cool / pores,acne,soothing",독도토너,(사용안함) [파우치증정] 1025 독도 트래블 키트 4종 (토너+로션+선크림+클렌저),NONE,2025-03-13,5,,0,제품 사용 후 피부가 부드러워졌어요. 여행갈 때 필수템입니다!,라운드랩1025독도트래블키트4종,FALSE,Y,#N/A
