review_id,star_filter,rating,title,body,author,date_raw,verified_purchase,helpful
R2BVQG2LY17SZD,one_star,1.0,So vood,It quite hydratig and soothing leaving the face frech.. i love love..i will defintely repurchase,Chinenye Blessing umeh,Reviewed in Germany on 17 September 2025,True,
R67D0RQ2B9Z3C,one_star,1.0,Nothing as such hype of this product.,Nothing as such hype of this product.,Pinky Martis,Reviewed in the United Arab Emirates on 20 August 2025,True,
RTUU5NL1XD5NE,one_star,1.0,Different size,"Not as the picture,I thought it’s gonna be 500ml but ot came only 300ml",Suci,Reviewed in the United Arab Emirates on 5 July 2025,True,
R2IWISAHZNHU59,one_star,1.0,Rash,Using the product on the rest of my body seems fine but using it on my face gave me a rash and irritation. Really unfortunate cause I've heard so many good things about this product :(,Ashton S.,Reviewed in the United States on 11 May 2023,True,
R17EDA8QSAKO03,one_star,1.0,Not for me unfortunately.,"I really wanted to like this toner, but it stung my skin and I didn’t notice any improvement after using half the bottle.
I went back to the Hada Labo gokujyun premium toner, which I already knew my skin loved.",Tiffany K Hopfenblatt,Reviewed in the United States on 1 February 2023,True,
RD6LXY9TTQQ28,one_star,1.0,cystic acne,"unfortunately this product didn't work out for me. smells nice. looked like it was hydrating my skin enough. but it caused my acne prone skin to get cysts. stopped using it, they healed. tried it again, started having cysts again.",Babiechaos,Reviewed in the United States on 16 January 2023,True,
R2CQI57DO2Z8AV,one_star,1.0,I don’t get it,"After reading the reviews, I purchased this. According to everything I read, ceramide mochi toner should be great, even for sensitive skin. I don’t have sensitive skin, but every time I use this my eyes swell up like cartoon character. I don’t get it. It’s very hard to find information on line that’s not from a company selling it. I would be suspicious of this one…",Molly Head,Reviewed in the United States on 12 December 2022,True,
R1JTT5FOTVGW5X,one_star,1.0,Why do all good things come to an end?,"Original review: My favorite (and only) toner, been using it for about 4 years. One bottle lasts me about 8-9 months for me so it's very affordable. I change up the skincare routine depending on my immediate needs and time of the year but this toner never changes!

Update: The latest bottle I received is unfortunately not the same product I've been using for years. I noticed they changed the packaging but didn't think anything of it until I used the new bottle and it smelled different. It never had a significant scent before but now it smells like citrus. It's color is more transparent, it used to be more white and most importantly it burns my face! In 4 years of using this product this never happened before, it's been an hour and my face is still burning. I compared the ingredients to my old bottle and the last 5 ingredients are different. I am very loyal to my skincare products and when I find something that works I stick to it but unfortunately this is the end of the road for this product.",blobaloo,Reviewed in the United States on 20 June 2022,True,
R2DJCXM7SH9VIE,one_star,1.0,irritating for my skin,It irritated my skin. I would get small bumps and my skin would turn red pretty immediately. Can't return it for whatever reason. Total waste of money.,Jae,Reviewed in the United States on 23 April 2022,True,
R24ATQ6XKNXNOC,one_star,1.0,"It caused itch bumps on face, hands , anywhere I applied on skin.","Do not like at all, itch skin, tiny bumps on my face, itch skin on my hands, not going away even after stop using it. Socks, bad luck!",KYONG,Reviewed in the United States on 21 November 2021,True,
R2CB1BJHVIF3XP,one_star,1.0,"bottle was leaking, package had a hole in it","I got this product yesterday but it had a huge hole ripped in the package and the bottle was not fully sealed.
I used it once so far and it feels nice. Will see how it goes.",B,Reviewed in the United States on 30 October 2020,True,
R2W9BB6J0EOZ1G,one_star,1.0,Expired makeup,"No. Why is Amazon letting people list makeup items that expires in 3 to 4 months. I dont understand.
When I first opened this Toner, I use this product but then I while using it it smelled weird. It smelled like a bug repellent. So I checked when the expiration date. The item I recieved expires in November of this year.

Make-up or skin care products usually have an expiration date for when it is opened and when it is sealed. yes it has TWO expiration date. Just because it is sealed, it doesnt mean its expiration date extends to when the product is opened.
Please stop selling expired makeups, I just dont want other consumers to buy expired makeup.",Amazon Customer,Reviewed in the United States on 27 July 2020,True,
R2MWW0B4QWI7AX,five_star,5.0,Good buy.,Very hydrating.,Adeola,Reviewed in the United Kingdom on 23 May 2026,True,
R8VY4VIHNYT6V,five_star,5.0,Very hydrating,Very hydrating and easy absorbing,Oluchi,Reviewed in the United Kingdom on 8 May 2026,True,
R3OLRLJCUA3CEK,five_star,5.0,Hydration in a big bottle,"A lovely thin hydrating toner. I did expect the consistency to be thicker but after a month of using daily the skin on my face loves it.
Removes any tightness that some of my face washes leave.",Kelly,Reviewed in the United Kingdom on 7 May 2026,True,
R12MP96MAY79IK,five_star,5.0,Soothing and hydrating,Really like this toner. It feels very hydrating and soothing. Not sure if it has made any difference to my skin but feel very nice on the skin.,Sarah,Reviewed in the United Kingdom on 5 May 2026,True,
R3Q1VNJJET3EJI,five_star,5.0,Gentle and hydrating toner,Love this toner very gentle and hydrating and the bottle is massive and will last forever! Highly recommended,Super Cool Shopper,Reviewed in the United Kingdom on 5 May 2026,True,
R253WE80F5IEWY,five_star,5.0,Excellent!,Love it! Not only does this hydrate my skin but also gives a glass glow,Marley n Me,Reviewed in the United Kingdom on 29 April 2026,True,
R2XKEE69AO48LL,five_star,5.0,Great for my combination (dry & sensitive) skin. Well worth the money.,"Now I'm getting older, I'm finding that my previously oily skin has turned into sensitive and dry skin. I'm quite new to toners, and the one that I previously used was very watery, and made my skin sting a little. When I first bought this Tonymoly mochi toner, I was skeptical due to it containing lemon peel oil. I thought it would irritate my skin (always do a patch test just incase), but it doesnt, and I am 100% sold. It is nice and thick and very hydrating as well as soothing. I very much look forward to using this product every day, and on days where I feel like my skin is a little extra dry, I apply multiple layers with my hands, and it provides the extra hydration that I need without it feeling heavy or making my skin feel greasy or sticky. I also find that mixing a few drops into my tinted moisturiser gives a more natural ""no make up"" look. It slightly sheers the tinted moisturiser and gives it a more skin-like appearance. I've heard that this works for actual foundation, too. I bought this when it was on offer. But due to how good it is for my skin and the size of the bottle, I am more than happy paying full price.",Jai,Reviewed in the United Kingdom on 19 April 2026,True,2 people found this helpful
RVROJ6EW0F6O7,five_star,5.0,💯 Definitely will repurchase!,"Reviewing this after 1 week of daily use (twice a day) and I absolutely adore this product.

I have dehydrated combination skin (oily tzone and mouth area), I have redness, skin texture and sensitivity from rosacea. In my early 30s.

The texture is slightly heavier than those watery toner. But not at all heavy/sticky. It’s actually super light and comfortable on the skin. Your skin just feels well hydrated even before your moisturiser!

It calms my skin down a lot especially after an acid peel procedure. Large bottle for the price. Smells so nice too! To make it easier to apply I use spray bottle to apply this product. Works wonderfully. Easily 5 star.",G,Reviewed in the United Kingdom on 16 April 2026,True,
R3FSJ21F7KDL3N,five_star,5.0,A Game Changer for My 50+ Sensitive Skin,"I’m in my 50s, and my skin is definitely on the mature side—plus I’m prone to redness and those pesky broken capillaries. Lately my skin has been more reactive than usual, so I started looking into products that could strengthen my skin barrier, keep moisture locked in, and offer some protection from environmental stressors.
Unsurprisingly, ceramide-based products kept coming up in my research, but I’d never tried a ceramide toner before. With so many toners, essences and ampoules on the market now, it can be hard to understand what each one does or which skin types they’re meant for. When I first got into skincare, toners were basically just used as an extra cleanse step or to control oily T‑zones—nothing like what they are today.
This is why the TONYMOLY Wonder Ceramide Mochi Toner was such a lovely surprise. It’s incredibly gentle, very hydrating, and noticeably soothing. After using it, my skin has that soft, healthy-looking “glass skin” glow that I always hear about but rarely achieve.
On top of the results, it’s excellent value for money, comes in a generous size, and has a light, calming scent that makes it feel like a mini spa moment. For anyone with sensitive, easily irritated, or mature skin who wants a boost of hydration and barrier support, this toner is definitely worth trying.",christine doherty,Reviewed in the United Kingdom on 19 March 2026,True,
R3LX3N78JAE5OJ,five_star,5.0,Hydrating & not sticky,"My 3rd repurchase. Goes on so easily, not sticky, absorbs well. So hydrating.",Lisa E.,Reviewed in the United Kingdom on 20 February 2026,True,
R2UO5ETXDKHVI2,five_star,5.0,Nice quality for price,Love this toner. I have bought a second one for back up - although the size of the bottle is very generous. It feels silky on the skin and leaves my skin soft and hydrated. I use this straight after cleansing and then add my other lotions. I would give it more stars if I could. A very reasonably priced toner that would easily compare to higher end.,Vicki M.,Reviewed in the United Kingdom on 22 January 2026,True,One person found this helpful
R7O7USWG8QGZQ,five_star,5.0,This is a good hydrating toner I love the work is good.,I love this toner it's really doing wonders as the name apply ❤️❤️❤️❤️❤️❤️,Olabisi Adejoke,Reviewed in the United Kingdom on 15 January 2026,True,
R39YW5R960KI2E,five_star,5.0,best Milky toner,Best hydration & smoothness. It’s best milky smooth toner I ever had. Best for dry skin.,Prexa,Reviewed in the United Kingdom on 17 December 2025,True,
R5MTH6MWQ58T9,five_star,5.0,beautiful toner,"this is the holy grail of toners, definately hydrating and nourishing, with this nice greaseless glow it leaves on the skin. I love it",Angela Ade,Reviewed in the United Kingdom on 4 December 2025,True,
R2Z3GAQLX42T3O,five_star,5.0,Worth every penny.,Very hydrating!!!,Rockstarr Balboa,Reviewed in the United Kingdom on 23 June 2025,True,One person found this helpful
R22R4W7VCHFPF,five_star,5.0,Very productive,"So hydrating and works really well
I have seen great progress since I started using this product",Rodesss,Reviewed in Germany on 3 June 2026,True,
R34J0T2UXZVJLJ,five_star,5.0,A must have! Don’t wait’,"Absolutely love, love this product! It smells amazing and feels so hydrating on the skin. Every time I walk by it I want to use it. The price point for volume amazing. Definitely on the reorder list!!",Kelly G,Reviewed in the United States on 14 May 2026,True,
R15GZHFCQM8L4Y,five_star,5.0,Hydrating toner for dry skin,Good product for hydration.,Priyanka,Reviewed in India on 1 May 2026,True,
R2QDWCVXQBUPS0,five_star,5.0,Why is it so expensive not,"So good
Very hydrating",Miracle A.,Reviewed in Belgium on 8 April 2026,True,
R10WVE25ZG0VW2,five_star,5.0,A toner that will leave your skin looking like glass and hydrated.,"I love this toner—it is very lightweight and hydrating. I have oily skin, and I noticed a difference from the very first day I used it; it leaves you with an incredible glass-skin look. Plus, the price is excellent.",Yandra Rojas,Reviewed in the United States on 7 April 2026,True,
R3TW4GOYIBLUCG,five_star,5.0,I love the way 💞,"I absolutely love this toner! The texture is lightweight but still feels deeply hydrating on the skin. It absorbs quickly and leaves my face feeling soft, smooth, and plump without any sticky residue. I’ve noticed my skin looks more radiant and healthy since I started using it.

It’s perfect for layering in a skincare routine and works great both morning and night. The large size is also a huge plus—it lasts a long time and is definitely worth the price. If you’re looking for a gentle, moisturizing toner that strengthens your skin barrier, I highly recommend this one! 💧✨",Juana Rodríguez,Reviewed in the United States on 5 April 2026,True,
RRXHOQ6A22XE2,five_star,5.0,Best toner for dry skin,Best toner out there for dry skin! Hydrates and leaves the skin supple.,Carmen Hernandez,Reviewed in the United States on 3 April 2026,True,
